阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局, 车站
开鲁, 内蒙古自治区通辽市开鲁县火车站, √, 　, 　, 呼和浩特铁路局, 车站
林东, 内蒙古自治区赤峰市巴林左旗林东镇林东火车站, √, 　, 　, 呼和浩特铁路局, 车站
林西, 内蒙古自治区赤峰市林西县林西镇林西火车站, √, 　, 　, 呼和浩特铁路局, 车站
临河, 内蒙古自治区巴彦淖尔市临河区胜利南路临河火车站, √, √, √, 呼和浩特铁路局, 车站
旗下营, 内蒙古自治区乌兰察布市卓资县, √, 　, 　, 呼和浩特铁路局, 车站
萨拉齐, 内蒙古自治区包头市土右旗萨拉齐镇站前街1号, √, 　, 　, 呼和浩特铁路局, 车站
赛汉塔拉, 内蒙古自治区锡林郭勒盟苏尼特右旗赛汉塔拉镇赛汉塔拉火车站, √, 　, 　, 呼和浩特铁路局, 车站
桑根达来, 内蒙古自治区锡林郭勒盟正蓝旗桑根达来镇, √, 　, 　, 呼和浩特铁路局, 车站
商都站, 内蒙古自治区乌兰察布市商都县红旗街, √,  ,  , 呼和浩特铁路局, 车站
土贵乌拉, 内蒙古自治区乌兰察布市察右前旗土贵乌拉镇, √, 　, 　, 呼和浩特铁路局, 车站
土牧尔台, 内蒙古自治区乌兰察布市察右后旗, √, 　, 　, 呼和浩特铁路局, 车站
乌海西站, 内蒙古自治区乌海市乌达区三道坎, √, √, √, 呼和浩特铁路局, 车站
乌海站, 内蒙古自治区乌海市海勃湾区新华西街68号, √, √, √, 呼和浩特铁路局, 车站
乌拉山, 内蒙古自治区巴彦淖尔市乌拉特前旗乌拉山镇, √, 　, 　, 呼和浩特铁路局, 车站
乌拉特前旗, 内蒙古自治区巴彦淖尔市乌拉特前旗乌拉山镇红旗南路一街坊, √, 　, 　, 呼和浩特铁路局, 车站
乌兰哈达, 内蒙古自治区乌兰察布市察右后旗乌兰哈达乡, √, 　, 　, 呼和浩特铁路局, 车站
五原站, 内蒙古自治区巴彦淖尔市五原巴彦套海镇, √, 　, 　, 呼和浩特铁路局, 车站
西小召站, 内蒙古自治区巴彦淖尔市乌拉特前旗西小召镇, √, 　, 　, 呼和浩特铁路局, 车站
锡林浩特, 本站位于内蒙古自治区锡林浩特市, √, 　, 　, 呼和浩特铁路局, 车站
兴和西, 内蒙古自治区乌兰察布市兴和县城关镇, √, 　, 　, 呼和浩特铁路局, 车站
哲里木, 内蒙古自治区通辽市河西镇哲里木火车站, √, 　, 　, 呼和浩特铁路局, 车站
正镶白旗, 内蒙古自治区锡林郭勒盟正镶白旗明安图镇朝格温都尔开发区, √, 　, 　, 呼和浩特铁路局, 车站
朱日和, 内蒙古自治区锡林郭勒盟苏尼特右旗, √, 　, 　, 呼和浩特铁路局, 车站
卓资东, 内蒙古自治区乌兰察布市卓资县工业园区, √, 　, 　, 呼和浩特铁路局, 车站
卓资山, 内蒙古自治区乌兰察布市卓资县, √, 　, 　, 呼和浩特铁路局, 车站
巴彦高勒, 内蒙古自治区巴彦淖尔市磴口县, √, 　, 　, 呼和浩特铁路局, 乘降所
白音察干, 内蒙古自治区乌兰察布市察右后旗, √, 　, 　, 呼和浩特铁路局, 乘降所
白云鄂博, 内蒙古自治区包头市白云鄂博矿区火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
包头, 内蒙古自治区包头市阿尔丁大街南端, √, √, √, 呼和浩特铁路局, 乘降所
包头东, 内蒙古包头市东河区南门外大街32号, √, 　, 　, 呼和浩特铁路局, 乘降所
宝拉格, 内蒙古自治区乌兰察布市察右后旗, √, 　, 　, 呼和浩特铁路局, 乘降所
贲红站, 内蒙古自治区乌兰察布市察右后旗贲红镇, √, 　, 　, 呼和浩特铁路局, 乘降所
查布嘎, 内蒙古自治区赤峰市阿鲁科尔沁旗天山镇查布嘎站, √, 　, 　, 呼和浩特铁路局, 乘降所
察素齐, 内蒙古自治区呼和浩特市土默特左旗察素齐镇博彦路南, √, 　, 　, 呼和浩特铁路局, 乘降所
达拉特西站, 内蒙古鄂尔多斯市达拉特旗展旦召福茂城, √, 　, 　, 呼和浩特铁路局, 乘降所
大板, 内蒙古自治区赤峰市巴林右旗大板镇林东火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
大陆号, 内蒙古自治区乌兰察布市哈尔右翼后旗贲红镇大陆号, √, 　, 　, 呼和浩特铁路局, 乘降所
东胜西, 内蒙古自治区鄂尔多斯市装备基地动力大道以东, √, 　, 　, 呼和浩特铁路局, 乘降所
额济纳, 内蒙古自治区阿拉善盟额济纳旗额济纳火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
二连站, 内蒙古自治区锡林郭勒盟二连浩特市迎宾北路2号, √, √, √, 呼和浩特铁路局, 乘降所
丰镇, 内蒙古自治区乌兰察布市, √, √, √, 呼和浩特铁路局, 乘降所
公庙子, 内蒙古自治区巴彦淖尔市乌拉特前旗先锋镇公庙子站, √, 　, 　, 呼和浩特铁路局, 乘降所
呼和浩特东站, 内蒙古自治区呼和浩特新城区南店呼和浩特东客站, √, √, √, 呼和浩特铁路局, 乘降所
呼和浩特站, 内蒙古呼和浩特市新城区车站东街41号, √, 　, 　, 呼和浩特铁路局, 乘降所
化德站, 内蒙古自治区乌兰察布市化德县, √, 　, 　, 呼和浩特铁路局, 乘降所
集宁南, 内蒙古自治区乌兰察布市集宁区怀远北大街96号, √, √, √, 呼和浩特铁路局, 乘降所
经棚, 内蒙古自治区赤峰市克什克腾旗经棚镇经棚火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
开鲁, 内蒙古自治区通辽市开鲁县火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
林东, 内蒙古自治区赤峰市巴林左旗林东镇林东火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
林西, 内蒙古自治区赤峰市林西县林西镇林西火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
临河, 内蒙古自治区巴彦淖尔市临河区胜利南路临河火车站, √, √, √, 呼和浩特铁路局, 乘降所
旗下营, 内蒙古自治区乌兰察布市卓资县, √, 　, 　, 呼和浩特铁路局, 乘降所
萨拉齐, 内蒙古自治区包头市土右旗萨拉齐镇站前街1号, √, 　, 　, 呼和浩特铁路局, 乘降所
赛汉塔拉, 内蒙古自治区锡林郭勒盟苏尼特右旗赛汉塔拉镇赛汉塔拉火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
桑根达来, 内蒙古自治区锡林郭勒盟正蓝旗桑根达来镇, √, 　, 　, 呼和浩特铁路局, 乘降所
商都站, 内蒙古自治区乌兰察布市商都县红旗街, √,  ,  , 呼和浩特铁路局, 乘降所
土贵乌拉, 内蒙古自治区乌兰察布市察右前旗土贵乌拉镇, √, 　, 　, 呼和浩特铁路局, 乘降所
土牧尔台, 内蒙古自治区乌兰察布市察右后旗, √, 　, 　, 呼和浩特铁路局, 乘降所
乌海西站, 内蒙古自治区乌海市乌达区三道坎, √, √, √, 呼和浩特铁路局, 乘降所
乌海站, 内蒙古自治区乌海市海勃湾区新华西街68号, √, √, √, 呼和浩特铁路局, 乘降所
乌拉山, 内蒙古自治区巴彦淖尔市乌拉特前旗乌拉山镇, √, 　, 　, 呼和浩特铁路局, 乘降所
乌拉特前旗, 内蒙古自治区巴彦淖尔市乌拉特前旗乌拉山镇红旗南路一街坊, √, 　, 　, 呼和浩特铁路局, 乘降所
乌兰哈达, 内蒙古自治区乌兰察布市察右后旗乌兰哈达乡, √, 　, 　, 呼和浩特铁路局, 乘降所
五原站, 内蒙古自治区巴彦淖尔市五原巴彦套海镇, √, 　, 　, 呼和浩特铁路局, 乘降所
西小召站, 内蒙古自治区巴彦淖尔市乌拉特前旗西小召镇, √, 　, 　, 呼和浩特铁路局, 乘降所
锡林浩特, 本站位于内蒙古自治区锡林浩特市, √, 　, 　, 呼和浩特铁路局, 乘降所
兴和西, 内蒙古自治区乌兰察布市兴和县城关镇, √, 　, 　, 呼和浩特铁路局, 乘降所
哲里木, 内蒙古自治区通辽市河西镇哲里木火车站, √, 　, 　, 呼和浩特铁路局, 乘降所
正镶白旗, 内蒙古自治区锡林郭勒盟正镶白旗明安图镇朝格温都尔开发区, √, 　, 　, 呼和浩特铁路局, 乘降所
朱日和, 内蒙古自治区锡林郭勒盟苏尼特右旗, √, 　, 　, 呼和浩特铁路局, 乘降所
卓资东, 内蒙古自治区乌兰察布市卓资县工业园区, √, 　, 　, 呼和浩特铁路局, 乘降所
卓资山, 内蒙古自治区乌兰察布市卓资县, √, 　, 　, 呼和浩特铁路局, 乘降所
安阳, 河南省河南省安阳市解放路1号, √, √, √, 郑州铁路局, 车站
安阳东, 河南省安阳市文明大道与海兴路交叉口往南500米, √, 　, 　, 郑州铁路局, 车站
长葛, 河南省许昌市长葛县车站街103号, √, 　, 　, 郑州铁路局, 车站
长垣, 河南省长垣县博爱路, √, √, √, 郑州铁路局, 车站
长治, 山西省长治市郊区堠北庄镇, √, √, √, 郑州铁路局, 车站
长治北, 山西省长治市郊区漳泽东街79号, √, 　, 　, 郑州铁路局, 车站
邓州, 河南省邓州市火车站, √, √, √, 郑州铁路局, 车站
东明县, 山东省东明县站前路54号, √, 　, 　, 郑州铁路局, 车站
高平, 山西省高平市新建路209号, √, 　, 　, 郑州铁路局, 车站
巩义, 河南省巩义市光明路1号, √, √, √, 郑州铁路局, 车站
巩义南, 河南省巩义市回郭镇, √, 　, 　, 郑州铁路局, 车站
关林, 河南省洛阳市洛龙区古城路东部, √, 　, 　, 郑州铁路局, 车站
鹤壁, 河南省鹤壁市淇滨区黎阳路西段, √, 　, 　, 郑州铁路局, 车站
鹤壁东, 河南省安阳市文明大道与海兴路交叉口往南501米, √, 　, 　, 郑州铁路局, 车站
获嘉, 河南省获嘉县, √, 　, 　, 郑州铁路局, 车站
济源, 河南省济源市北海办事处小李庄村, √, √, √, 郑州铁路局, 车站
嘉峰, 山西省沁水县嘉峰镇嘉峰村, √, 　, 　, 郑州铁路局, 车站
焦作, 河南省焦作市解放区民主路, √, √, √, 郑州铁路局, 车站
焦作东, 河南省武陟县詹店镇车站街, √, 　, 　, 郑州铁路局, 车站
晋城, 山西省晋城市迎宾街98号, √, √, √, 郑州铁路局, 车站
晋城北, 山西省晋城市孟匠村, √, 　, 　, 郑州铁路局, 车站
开封, 河南省开封市禹王台区中山路1号, √, √, √, 郑州铁路局, 车站
兰考, 河南省兰考县城关镇南街车站路中段, √, 　, 　, 郑州铁路局, 车站
临颍, 河南省漯河市临颍县铁东路117号, √, 　, 　, 郑州铁路局, 车站
灵宝, 河南省灵宝市车站路1号, √, √, √, 郑州铁路局, 车站
灵宝西, 河南省灵宝市西闫乡, √, 　, 　, 郑州铁路局, 车站
鲁山, 河南省平顶山市鲁山县, √, √, √, 郑州铁路局, 车站
洛阳, 河南省洛阳市西工区道南路1号, √, √, √, 郑州铁路局, 车站
洛阳东, 河南省洛阳市瀍河区大同街38号, √, 　, 　, 郑州铁路局, 车站
洛阳龙门站, 河南省洛阳市洛龙区通衢路19号, √, 　, 　, 郑州铁路局, 车站
民权, 河南省商丘市民权县城和平西路, √, √, √, 郑州铁路局, 车站
内乡, 河南省内乡县, √, 　, 　, 郑州铁路局, 车站
南阳, 河南省南阳市卧龙区铁东街3号, √, √, √, 郑州铁路局, 车站
南召, 河南省南召县云阳镇, √, 　, 　, 郑州铁路局, 车站
宁陵县, 河南省商丘市宁陵县柳河镇, √, 　, 　, 郑州铁路局, 车站
平顶山西, 河南省宝丰县, √, √, √, 郑州铁路局, 车站
沁阳, 河南省沁阳市西万镇西万村, √, 　, 　, 郑州铁路局, 车站
汝州, 河南省汝州市洗耳河办事处, √, 　, 　, 郑州铁路局, 车站
三门峡, 河南省三门峡市黄河路东5号, √, √, √, 郑州铁路局, 车站
三门峡南, 河南省三门峡市, √, 　, 　, 郑州铁路局, 车站
三门峡西, 河南省三门峡市陕县原店镇, √, √, √, 郑州铁路局, 车站
商丘, 河南省商丘市站前路59号, √, √, √, 郑州铁路局, 车站
商丘南, 河南省商丘市南京路东端, √, √, √, 郑州铁路局, 车站
渑池, 河南省渑池县, √, 　, 　, 郑州铁路局, 车站
渑池南, 河南省渑池县, √, 　, 　, 郑州铁路局, 车站
汤阴, 河南省汤阴县铁东路, √, 　, 　, 郑州铁路局, 车站
唐河, 河南省唐河县, √, 　, 　, 郑州铁路局, 车站
桐柏, 河南省桐柏县, √, 　, 　, 郑州铁路局, 车站
卫辉, 河南省卫辉市翔宇大道138号, √, 　, 　, 郑州铁路局, 车站
西峡, 河南省西峡县, √, 　, 　, 郑州铁路局, 车站
襄垣, 山西省襄垣县小黄庄村, √, 　, 　, 郑州铁路局, 车站
新安县, 河南省新安县秦皇路南39号, √, 　, 　, 郑州铁路局, 车站
新乡, 河南省新乡市平原路1号, √, √, √, 郑州铁路局, 车站
新乡东, 河南省新乡市荣校路东段, √, 　, 　, 郑州铁路局, 车站
修武, 河南省修武县, √, 　, 　, 郑州铁路局, 车站
许昌, 河南省许昌市魏都区车站路2号　, √, √, √, 郑州铁路局, 车站
许昌东, 河南省许昌市天宝路与许州路交叉口　, √, 　, 　, 郑州铁路局, 车站
偃师, 河南省偃师市车站路8号, √, √, √, 郑州铁路局, 车站
阳城, 山西省阳城县八甲口镇八甲口村, √, 　, 　, 郑州铁路局, 车站
义马, 河南省义马市, √, 　, 　, 郑州铁路局, 车站
月山, 河南省焦作市博爱县月山镇, √, √, √, 郑州铁路局, 车站
镇平, 河南省镇平县健康路, √, 　, 　, 郑州铁路局, 车站
郑州, 河南省郑州市二七区二马路82号, √, √, √, 郑州铁路局, 车站
郑州东, 河南省郑州市郑东新区郑州东站, √, 　, 　, 郑州铁路局, 车站
安阳, 河南省河南省安阳市解放路1号, √, √, √, 郑州铁路局, 乘降所
安阳东, 河南省安阳市文明大道与海兴路交叉口往南500米, √, 　, 　, 郑州铁路局, 乘降所
长葛, 河南省许昌市长葛县车站街103号, √, 　, 　, 郑州铁路局, 乘降所
长垣, 河南省长垣县博爱路, √, √, √, 郑州铁路局, 乘降所
长治, 山西省长治市郊区堠北庄镇, √, √, √, 郑州铁路局, 乘降所
长治北, 山西省长治市郊区漳泽东街79号, √, 　, 　, 郑州铁路局, 乘降所
邓州, 河南省邓州市火车站, √, √, √, 郑州铁路局, 乘降所
东明县, 山东省东明县站前路54号, √, 　, 　, 郑州铁路局, 乘降所
高平, 山西省高平市新建路209号, √, 　, 　, 郑州铁路局, 乘降所
巩义, 河南省巩义市光明路1号, √, √, √, 郑州铁路局, 乘降所
巩义南, 河南省巩义市回郭镇, √, 　, 　, 郑州铁路局, 乘降所
关林, 河南省洛阳市洛龙区古城路东部, √, 　, 　, 郑州铁路局, 乘降所
鹤壁, 河南省鹤壁市淇滨区黎阳路西段, √, 　, 　, 郑州铁路局, 乘降所
鹤壁东, 河南省安阳市文明大道与海兴路交叉口往南501米, √, 　, 　, 郑州铁路局, 乘降所
获嘉, 河南省获嘉县, √, 　, 　, 郑州铁路局, 乘降所
济源, 河南省济源市北海办事处小李庄村, √, √, √, 郑州铁路局, 乘降所
嘉峰, 山西省沁水县嘉峰镇嘉峰村, √, 　, 　, 郑州铁路局, 乘降所
焦作, 河南省焦作市解放区民主路, √, √, √, 郑州铁路局, 乘降所
焦作东, 河南省武陟县詹店镇车站街, √, 　, 　, 郑州铁路局, 乘降所
晋城, 山西省晋城市迎宾街98号, √, √, √, 郑州铁路局, 乘降所
晋城北, 山西省晋城市孟匠村, √, 　, 　, 郑州铁路局, 乘降所
开封, 河南省开封市禹王台区中山路1号, √, √, √, 郑州铁路局, 乘降所
兰考, 河南省兰考县城关镇南街车站路中段, √, 　, 　, 郑州铁路局, 乘降所
临颍, 河南省漯河市临颍县铁东路117号, √, 　, 　, 郑州铁路局, 乘降所
灵宝, 河南省灵宝市车站路1号, √, √, √, 郑州铁路局, 乘降所
灵宝西, 河南省灵宝市西闫乡, √, 　, 　, 郑州铁路局, 乘降所
鲁山, 河南省平顶山市鲁山县, √, √, √, 郑州铁路局, 乘降所
洛阳, 河南省洛阳市西工区道南路1号, √, √, √, 郑州铁路局, 乘降所
洛阳东, 河南省洛阳市瀍河区大同街38号, √, 　, 　, 郑州铁路局, 乘降所
洛阳龙门站, 河南省洛阳市洛龙区通衢路19号, √, 　, 　, 郑州铁路局, 乘降所
民权, 河南省商丘市民权县城和平西路, √, √, √, 郑州铁路局, 乘降所
内乡, 河南省内乡县, √, 　, 　, 郑州铁路局, 乘降所
南阳, 河南省南阳市卧龙区铁东街3号, √, √, √, 郑州铁路局, 乘降所
南召, 河南省南召县云阳镇, √, 　, 　, 郑州铁路局, 乘降所
宁陵县, 河南省商丘市宁陵县柳河镇, √, 　, 　, 郑州铁路局, 乘降所
平顶山西, 河南省宝丰县, √, √, √, 郑州铁路局, 乘降所
沁阳, 河南省沁阳市西万镇西万村, √, 　, 　, 郑州铁路局, 乘降所
汝州, 河南省汝州市洗耳河办事处, √, 　, 　, 郑州铁路局, 乘降所
三门峡, 河南省三门峡市黄河路东5号, √, √, √, 郑州铁路局, 乘降所
三门峡南, 河南省三门峡市, √, 　, 　, 郑州铁路局, 乘降所
三门峡西, 河南省三门峡市陕县原店镇, √, √, √, 郑州铁路局, 乘降所
商丘, 河南省商丘市站前路59号, √, √, √, 郑州铁路局, 乘降所
商丘南, 河南省商丘市南京路东端, √, √, √, 郑州铁路局, 乘降所
渑池, 河南省渑池县, √, 　, 　, 郑州铁路局, 乘降所
渑池南, 河南省渑池县, √, 　, 　, 郑州铁路局, 乘降所
汤阴, 河南省汤阴县铁东路, √, 　, 　, 郑州铁路局, 乘降所
唐河, 河南省唐河县, √, 　, 　, 郑州铁路局, 乘降所
桐柏, 河南省桐柏县, √, 　, 　, 郑州铁路局, 乘降所
卫辉, 河南省卫辉市翔宇大道138号, √, 　, 　, 郑州铁路局, 乘降所
西峡, 河南省西峡县, √, 　, 　, 郑州铁路局, 乘降所
襄垣, 山西省襄垣县小黄庄村, √, 　, 　, 郑州铁路局, 乘降所
新安县, 河南省新安县秦皇路南39号, √, 　, 　, 郑州铁路局, 乘降所
新乡, 河南省新乡市平原路1号, √, √, √, 郑州铁路局, 乘降所
新乡东, 河南省新乡市荣校路东段, √, 　, 　, 郑州铁路局, 乘降所
修武, 河南省修武县, √, 　, 　, 郑州铁路局, 乘降所
许昌, 河南省许昌市魏都区车站路2号　, √, √, √, 郑州铁路局, 乘降所
许昌东, 河南省许昌市天宝路与许州路交叉口　, √, 　, 　, 郑州铁路局, 乘降所
偃师, 河南省偃师市车站路8号, √, √, √, 郑州铁路局, 乘降所
阳城, 山西省阳城县八甲口镇八甲口村, √, 　, 　, 郑州铁路局, 乘降所
义马, 河南省义马市, √, 　, 　, 郑州铁路局, 乘降所
月山, 河南省焦作市博爱县月山镇, √, √, √, 郑州铁路局, 乘降所
镇平, 河南省镇平县健康路, √, 　, 　, 郑州铁路局, 乘降所
郑州, 河南省郑州市二七区二马路82号, √, √, √, 郑州铁路局, 乘降所
郑州东, 河南省郑州市郑东新区郑州东站, √, 　, 　, 郑州铁路局, 乘降所
安陆, 湖北省安陆市, √, 　, 　, 武汉铁路局, 车站
巴东, 湖北省恩施州巴东县野山关镇, √, 　, 　, 武汉铁路局, 车站
长阳, 湖北省宜昌市长阳土家族自治县贺家坪镇渔泉溪村, √, 　, 　, 武汉铁路局, 车站
赤壁北, 湖北省赤壁市, √, 　, 　, 武汉铁路局, 车站
赤壁, 湖北省赤壁市, √, √, √, 武汉铁路局, 车站
大冶北, 湖北省大冶市五桥办事处新美村, √, 　, 　, 武汉铁路局, 车站
当阳, 湖北省当阳市坝陵开发区车站路, √, √, √, 武汉铁路局, 车站
鄂州城际, 湖北省鄂州市鄂城区江碧路, √, 　, 　, 武汉铁路局, 车站
鄂州东, 湖北省鄂州市燕矶镇沙塘村鄂州东站, √, 　, 　, 武汉铁路局, 车站
鄂州, 湖北省鄂州市鄂城区江碧路, √, 　, 　, 武汉铁路局, 车站
恩施, 湖北省恩施土家族苗族自治州金桂大道, √, 　, 　, 武汉铁路局, 车站
葛店南, 湖北省鄂州市葛店开发区大湾社区（高新大道）, √, 　, 　, 武汉铁路局, 车站
谷城, 湖北省襄阳市谷城县城关镇粉阳路151号, √, √, √, 武汉铁路局, 车站
固始, 河南省信阳市固始县段集镇火车站, √, 　, 　, 武汉铁路局, 车站
广水, 湖北省随州市广水市武胜关镇, √, 　, 　, 武汉铁路局, 车站
汉川车, 湖北省汉川市马口镇八大村, √, 　, 　, 武汉铁路局, 车站
汉口车, 湖北省武汉市江汉区金家墩特1号, √, √, √, 武汉铁路局, 车站
贺胜桥东, 湖北省咸宁市贺胜桥镇, √, 　, 　, 武汉铁路局, 车站
横沟桥东, 湖北省咸宁市横沟桥镇, √, 　, 　, 武汉铁路局, 车站
红安（西）, 湖北省红安县八里湾镇柯家湾, √, 　, 　, 武汉铁路局, 车站
花湖, 湖北省鄂州市鄂城区花湖大道人信南路（假日威尼斯背后）, √, 　, 　, 武汉铁路局, 车站
花山南, 湖北省武汉市洪山区花山镇大长山路特1号, √, 　, 　, 武汉铁路局, 车站
花园, 湖北省孝感市孝昌县花园镇, √, 　, 　, 武汉铁路局, 车站
华容东, 湖北省湖北省鄂州市华容区华容镇, √, 　, 　, 武汉铁路局, 车站
华容南, 湖北省湖北省鄂州市华容区华容镇, √, 　, 　, 武汉铁路局, 车站
华容, 湖北省湖北省鄂州市华容区, √, 　, 　, 武汉铁路局, 车站
淮滨, 河南省信阳市淮滨县栏杆镇, √, 　, 　, 武汉铁路局, 车站
黄冈, 湖北省黄冈市黄州区路口镇, √, 　, 　, 武汉铁路局, 车站
黄冈东, 湖北省黄冈市黄州区路口镇新华村, √, 　, 　, 武汉铁路局, 车站
黄冈西, 湖北省黄冈市黄州区雨王街刘家大湾村, √, 　, 　, 武汉铁路局, 车站
黄石北, 湖北省黄石市下陆区伍家洪大道, √, 　, 　, 武汉铁路局, 车站
黄石, 湖北省大冶市罗桥, √, √, √, 武汉铁路局, 车站
黄州, 湖北省黄冈市黄州区火车站管委会, √, 　, 　, 武汉铁路局, 车站
潢川, 河南省潢川县火车站开发区, √, √, √, 武汉铁路局, 车站
建始, 湖北省恩施土家族苗族自治州建始县邺州镇安乐井村　, √, 　, 　, 武汉铁路局, 车站
界首, 安徽省界首市东升路1号, √, 　, 　, 武汉铁路局, 车站
京山, 湖北省京山县新市大道1号, √, 　, 　, 武汉铁路局, 车站
荆门, 湖北省荆门市金龙泉大道4号, √, √, √, 武汉铁路局, 车站
荆州, 湖北省荆州市荆州区荆北村楚源大道, √, 　, 　, 武汉铁路局, 车站
利川, 湖北省利川市南环大道, √, 　, 　, 武汉铁路局, 车站
罗山, 河南省信阳市罗山县龙山乡, √, 　, 　, 武汉铁路局, 车站
漯河, 河南省漯河市公安街, √, √, √, 武汉铁路局, 车站
漯河西, 河南省漯河市翠华山路, √, 　, 　, 武汉铁路局, 车站
麻城, 湖北省麻城市黄金桥火车站开发区, √, √, √, 武汉铁路局, 车站
麻城北, 湖北省麻城市黄金桥开发区金通大道, √, 　, 　, 武汉铁路局, 车站
庙山, 湖北省武汉市洪山区东湖高新开发区, √, 　, 　, 武汉铁路局, 车站
明港, 河南省信阳市平桥区明港镇, √, 　, 　, 武汉铁路局, 车站
明港东, 河南省信阳市平桥区明港镇, √, 　, 　, 武汉铁路局, 车站
南胡东, 湖北省武汉市洪山区东湖高新开发区, √, 　, 　, 武汉铁路局, 车站
平顶山, 河南省平顶山市南环中路1号, √, √, √, 武汉铁路局, 车站
普安, 湖北省武汉市洪山区东湖高新开发区, √, 　, 　, 武汉铁路局, 车站
蕲春, 湖北省蕲春县火车站, √, √, √, 武汉铁路局, 车站
潜江, 湖北省潜江市紫月路特1号, √, 　, 　, 武汉铁路局, 车站
确山, 河南省驻马店市确山县城, √, 　, 　, 武汉铁路局, 车站
山坡东, 湖北省咸宁市山坡东镇, √, 　, 　, 武汉铁路局, 车站
商城, 河南省商城县上石桥镇火车站开发区, √, 　, 　, 武汉铁路局, 车站
沈丘, 河南省沈丘县兆丰大道南端, √, 　, 　, 武汉铁路局, 车站
十堰, 湖北省十堰市车站路11号, √, √, √, 武汉铁路局, 车站
松滋, 湖北省松滋市麻水乡张家畈村, √, 　, 　, 武汉铁路局, 车站
随州, 湖北省随州市城东新区迎宾大道, √, √, 　, 武汉铁路局, 车站
遂平, 河南省驻马店市遂平县城, √, 　, 　, 武汉铁路局, 车站
汤逊湖, 湖北省武汉市洪山区东湖高新开发区, √, 　, 　, 武汉铁路局, 车站
天门, 湖北省天门市皂市镇红花堰村, √, 　, 　, 武汉铁路局, 车站
天门南, 湖北省天门市多祥镇天门工业园, √, 　, 　, 武汉铁路局, 车站
土地堂东, 湖北省咸宁市土地堂镇, √, 　, 　, 武汉铁路局, 车站
乌龙泉南, 湖北省武汉市江夏区, √, 　, 　, 武汉铁路局, 车站
武昌, 湖北省武汉市武昌区中山路642号, √, √, √, 武汉铁路局, 车站
武当山, 湖北省丹江口市六里坪镇, √, 　, 　, 武汉铁路局, 车站
武汉, 湖北省武汉市洪山区阳春湖畔, √, 　, 　, 武汉铁路局, 车站
武穴, 湖北省武穴市石佛寺镇火车站开发区, √, 　, 　, 武汉铁路局, 车站
西平, 河南省驻马店市西平县城, √, 　, 　, 武汉铁路局, 车站
息县, 河南省信阳市息县曹黄林乡, √, 　, 　, 武汉铁路局, 车站
浠水, 湖北省浠水县火车站, √, √, √, 武汉铁路局, 车站
仙桃西, 湖北省仙桃市三伏潭镇雷场村, √, 　, 　, 武汉铁路局, 车站
咸宁北, 咸宁市西北部咸安区官埠桥镇渡船村, √, 　, 　, 武汉铁路局, 车站
咸宁东, 湖北省咸宁市咸宁开发区, √, 　, 　, 武汉铁路局, 车站
咸宁南, 湖北省咸宁市温泉区, √, 　, 　, 武汉铁路局, 车站
咸宁, 湖北省咸宁市咸安区, √, √, √, 武汉铁路局, 车站
襄阳, 湖北省襄阳市樊城区前进路, √, √, √, 武汉铁路局, 车站
襄阳东, 湖北省襄阳市襄州区交通路, √, 　, 　, 武汉铁路局, 车站
项城, 河南省项城市湖宾路南端向左2公里, √, 　, 　, 武汉铁路局, 车站
孝感, 湖北省孝感市孝南区, √, √, √, 武汉铁路局, 车站
孝感北, 湖北省孝感市大悟县高店新区, √, 　, 　, 武汉铁路局, 车站
新县, 河南省新县新集镇京九路火车站开发区, √, √, √, 武汉铁路局, 车站
信阳东, 河南省信阳市羊山新区信阳工业城产业聚集区内, √, 　, 　, 武汉铁路局, 车站
信阳, 河南省信阳市民权路与新华东路交叉口处, √, √, √, 武汉铁路局, 车站
阳新, 湖北省黄石市阳新县, √, √, 　, 武汉铁路局, 车站
宜昌东, 湖北省宜昌市伍家岗区东站路1号, √, √, √, 武汉铁路局, 车站
宜城, 湖北省宜城市雷河发展区廖河乡, √, 　, 　, 武汉铁路局, 车站
应城, 湖北省应城市广场大道, √, 　, 　, 武汉铁路局, 车站
云梦, 湖北省孝感市云梦县城, √, 　, 　, 武汉铁路局, 车站
枣阳, 湖北省枣阳市车站路, √, 　, 　, 武汉铁路局, 车站
枝城, 湖北省宜都市枝城镇车站路12号, √, √, √, 武汉铁路局, 车站
枝江北, 湖北省宜昌市枝江市仙女工业园, √, 　, 　, 武汉铁路局, 车站
纸坊东, 湖北省武汉市江夏区, √, 　, 　, 武汉铁路局, 车站
钟祥, 湖北省钟祥市站前路1号, √, 　, 　, 武汉铁路局, 车站
周口, 河南省周口市工农路南端, √, 　, 　, 武汉铁路局, 车站
驻马店, 河南省驻马店市驿城区, √, √, √, 武汉铁路局, 车站
驻马店西, 河南省驻马店市驿城区, √, 　, 　, 武汉铁路局, 车站
